"Date","Open","High","Low","Close","Volume"
"02/26/2024","182.24","183.9225","179.53","180.75","280,822,810"
"02/19/2024","181.79","185.04","180","182.52","192,607,110"
"02/12/2024","188.415","188.67","181.35","182.31","268,128,950"
"02/05/2024","188.15","191.05","185.84","188.85","252,715,810"
"01/29/2024","192.01","192.2","179.25","185.85","325,909,900"
"01/22/2024","192.3","196.38","191.94","192.42","255,536,900"
"01/15/2024","182.16","191.95","180.3","191.56","259,829,210"
"01/08/2024","182.085","187.05","181.5","185.92","238,385,380"
"01/01/2024","187.15","188.44","180.17","181.18","275,266,360"
"12/25/2023","193.61","194.66","191.09","192.53","153,729,040"
"12/18/2023","196.09","197.68","192.97","193.6","232,340,850"
"12/11/2023","193.11","199.62","191.42","197.57","379,414,750"
"12/04/2023","189.98","195.99","187.4511","195.71","251,991,680"
"11/27/2023","189.92","192.09","188.19","191.24","216,481,440"
"11/20/2023","189.89","192.93","189.25","189.97","148,351,450"
"11/13/2023","185.82","190.96","184.21","189.69","262,880,720"
"11/06/2023","176.38","186.565","176.21","186.4","303,653,020"
"10/30/2023","169.02","177.78","167.9","176.65","310,075,890"
"10/23/2023","170.91","174.01","165.67","168.22","286,078,100"
"10/16/2023","176.75","179.075","172.64","172.88","288,377,600"
"10/09/2023","176.81","182.34","175.8","178.85","241,839,090"
"10/02/2023","171.22","177.99","170.82","177.49","260,574,040"
"09/25/2023","174.2","176.97","167.62","171.21","285,839,000"
"09/18/2023","176.48","179.695","173.86","174.79","297,395,200"
"09/11/2023","180.07","180.3","173.58","175.01","403,746,430"
"09/04/2023","188.28","189.98","173.54","178.18","305,126,720"
"08/28/2023","180.09","189.92","178.545","189.46","264,199,510"
"08/21/2023","175.07","181.55","173.735","178.61","247,514,270"
"08/14/2023","177.97","179.69","171.96","174.49","261,498,110"
"08/07/2023","182.13","183.13","176.55","177.79","332,501,080"
"07/31/2023","196.06","196.73","181.92","181.99","302,694,950"
"07/24/2023","193.41","197.2","192.25","195.83","226,011,790"
"07/17/2023","191.9","198.23","191.23","191.94","310,914,130"
"07/10/2023","189.26","191.7","186.6","190.69","250,269,110"
"07/03/2023","193.78","193.88","189.2","190.68","170,237,870"
"06/26/2023","186.83","194.48","185.23","193.97","281,596,840"
"06/19/2023","184.41","187.56","182.5901","186.68","203,677,120"
"06/12/2023","181.27","186.99","180.97","184.92","333,836,380"
"06/05/2023","182.63","184.951","177.32","180.96","347,854,340"
"05/29/2023","176.96","181.78","176.57","180.95","286,488,410"
"05/22/2023","173.98","175.77","170.52","175.43","250,354,920"
"05/15/2023","173.16","176.39","170.4201","175.16","258,634,690"
"05/08/2023","172.48","174.59","171","172.57","250,061,980"
"05/01/2023","169.28","174.3","164.31","173.57","360,723,290"
"04/24/2023","165","169.85","162.8","169.68","256,340,620"
"04/17/2023","165.09","168.16","164.03","165.02","249,953,120"
"04/10/2023","161.42","166.32","159.78","165.21","263,326,290"
"04/03/2023","164.27","166.84","161.8","164.66","200,156,350"
"03/27/2023","159.94","165","155.98","164.9","267,939,590"
"03/20/2023","155.07","162.14","154.15","160.25","350,159,920"
"03/13/2023","147.805","156.74","147.7","155","410,519,930"
"03/06/2023","153.785","156.3","147.6096","148.5","313,350,830"
"02/27/2023","147.71","151.11","143.9","151.03","274,036,520"
"02/20/2023","150.2","151.3","145.7202","146.71","213,742,400"
"02/13/2023","150.952","156.33","150.85","152.55","316,887,890"
"02/06/2023","152.575","155.23","149.22","151.01","330,758,790"
"01/30/2023","144.955","157.38","141.32","154.5","480,249,660"
"01/23/2023","138.12","147.23","137.9","145.93","338,655,710"
"01/16/2023","134.83","138.61","133.77","137.87","271,823,470"
"01/09/2023","130.465","134.92","128.12","134.76","333,335,290"
"01/02/2023","130.28","130.9","124.17","129.62","369,948,560"
"12/26/2022","131.38","131.41","125.87","129.93","307,184,140"
"12/19/2022","135.11","136.81","129.64","131.86","384,620,420"
"12/12/2022","142.7","149.9692","133.73","134.51","505,728,800"
"12/05/2022","147.77","150.9199","140","142.16","341,500,070"
"11/28/2022","145.14","149.13","140.355","147.81","401,189,090"
"11/21/2022","150.16","151.83","146.925","148.11","204,025,460"
"11/14/2022","148.97","153.59","146.15","151.29","382,679,680"
"11/07/2022","137.11","150.01","134.5933","149.7","461,034,570"
"10/31/2022","153.155","155.45","134.38","138.38","510,660,460"
"10/24/2022","147.185","157.5","144.13","155.74","513,092,980"
"10/17/2022","141.065","147.8479","140.27","147.27","397,216,490"
"10/10/2022","140.42","144.52","134.37","138.38","424,188,380"
"10/03/2022","138.21","147.54","137.685","140.09","435,940,460"
"09/26/2022","149.66","154.72","138","138.2","577,537,050"
"09/19/2022","149.31","158.74","148.56","150.43","473,543,300"
"09/12/2022","159.59","164.26","148.37","150.7","568,337,920"
"09/05/2022","156.47","157.82","152.68","157.37","314,169,270"
"08/29/2022","161.145","162.9","154.67","155.81","390,398,910"
"08/22/2022","169.69","171.05","163.56","163.62","307,194,600"
"08/15/2022","171.52","176.15","171.3101","171.52","322,647,160"
"08/08/2022","166.37","172.17","163.25","172.1","318,856,920"
"08/01/2022","161.01","167.19","159.63","165.35","322,415,030"
"07/25/2022","154.01","163.63","150.8","162.51","370,548,960"
"07/18/2022","150.74","156.28","146.7","154.09","360,988,700"
"07/11/2022","145.67","150.86","142.1201","150.17","366,480,100"
"07/04/2022","137.77","147.55","136.93","147.04","278,295,400"
"06/27/2022","142.695","143.49","133.7737","138.93","373,781,670"
"06/20/2022","133.42","141.91","133.32","141.66","315,960,330"
"06/13/2022","132.87","137.34","129.04","131.56","541,006,200"
"06/06/2022","147.03","149.8697","137.06","137.13","354,396,350"
"05/30/2022","149.07","151.74","144.46","145.38","338,923,390"
"05/23/2022","137.79","149.68","137.14","149.64","495,921,750"
"05/16/2022","145.55","149.77","132.61","137.59","548,244,630"
"05/09/2022","154.925","156.74","138.8","147.11","686,227,300"
"05/02/2022","156.71","166.48","153.27","157.28","566,928,230"
"04/25/2022","161.12","166.2","155.38","157.65","541,697,210"
"04/18/2022","163.92","171.53","161.5","161.79","376,787,770"
"04/11/2022","168.71","171.27","165.04","165.29","297,460,200"
"04/04/2022","174.57","178.49","169.2","170.09","393,176,710"
"03/28/2022","172.17","179.61","171.94","174.31","465,395,100"
"03/21/2022","163.51","175.28","163.015","174.72","446,083,610"
"03/14/2022","151.45","164.48","150.1","163.98","503,123,680"
"03/07/2022","163.36","165.02","154.5","154.73","521,334,160"
"02/28/2022","163.06","168.91","161.97","163.17","418,753,840"
"02/21/2022","164.98","166.69","152","164.85","414,293,730"
"02/14/2022","167.37","173.34","166.19","167.3","364,011,260"
"02/07/2022","172.86","176.65","168.04","168.64","412,902,050"
"01/31/2022","170.16","176.2399","169.51","172.39","458,553,240"
"01/24/2022","160.02","170.35","154.7","170.33","688,670,700"
"01/17/2022","171.51","172.54","162.3","162.41","400,253,140"
"01/10/2022","169.08","177.18","168.17","173.07","422,655,620"
"01/03/2022","177.83","182.94","171.03","172.17","482,162,350"
"12/27/2021","177.085","181.33","177.07","177.57","340,248,120"
"12/20/2021","168.28","176.8499","167.46","176.28","359,176,880"
"12/13/2021","181.115","182.13","169.69","171.14","769,789,900"
"12/06/2021","164.29","179.63","164.28","179.45","569,227,700"
"11/29/2021","159.37","170.3","157.8","161.84","669,981,620"
"11/22/2021","161.68","165.7","156.36","156.81","359,933,170"
"11/15/2021","150.37","161.02","149.34","160.55","462,419,310"
"11/08/2021","151.41","151.57","147.48","149.99","281,799,850"
"11/01/2021","148.985","152.43","147.8","151.28","324,080,280"
"10/25/2021","148.68","153.165","146.4128","149.8","392,739,990"
"10/18/2021","143.445","150.18","143.16","148.69","340,691,290"
"10/11/2021","142.27","144.895","139.2","144.84","354,098,230"
"10/04/2021","141.76","144.215","138.27","142.9","382,910,010"
"09/27/2021","145.47","145.96","139.1101","142.65","441,421,310"
"09/20/2021","143.8","147.4701","141.27","146.92","394,033,240"
"09/13/2021","150.63","151.42","145.76","146.06","492,884,870"
